Datetime,Tweet Id,Text,Username
2021-11-06 23:23:09+00:00,1457126437505441794,"Just saw Eternals in 3D.  Beautiful cinematography and effects, cool themes and characters, more ponderous and thoughtful than most MCU films, but that's a good thing.  8/10.  

#Eternals #Marvel #MarvelStudios #Review",AMArktos
2021-11-06 23:21:38+00:00,1457126057979650048,#Eternals review! #TikTok https://t.co/GilHJvI6iU,NikkoCaruso
2021-11-06 23:20:51+00:00,1457125858309779456,all i’m gonna say is that the eternals reviews LIED,VOSTOKOFFHILL
2021-11-06 23:20:05+00:00,1457125665988386822,My ★★★★½ review of Eternals on Letterboxd https://t.co/sHKbvKB5lT,the93kv
2021-11-06 23:19:20+00:00,1457125478486224896,My ★★★★★ review of Eternals on Letterboxd https://t.co/PrxI4xYqq3,Ieopfitz
2021-11-06 23:17:13+00:00,1457124946220441607,"Saw #Eternals today. Absolutely nothing like what the reviews said!!! Absolutely BEAUTIFUL cinematography and so many hilarious moments. Hope they make a sequel but sadly I don’t see it happening. 

Don’t listen to reviews folks, watch  movies for yourself. https://t.co/bMMYKz83qg",Washingtonboy05
2021-11-06 23:15:48+00:00,1457124589201395714,"ETERNALS REVIEW TONIGHT!

IM SEEING IT IN A FEW HOURS",DreadedVR
2021-11-06 23:15:34+00:00,1457124530791583748,"Idk how #Eternals is getting bad reviews. 

It’s the same movie Marvel has released almost 30 times now",20154Ryan
2021-11-06 23:15:15+00:00,1457124449908449280,just watched Eternals and I do not get the hate and low reviews it’s getting :/ I actually liked it more than Shang-Chi,sincerelyynini
2021-11-06 23:15:11+00:00,1457124433177497612,"hi timeline! 
eternals was a beautiful marvel film, easily my 3rd favorite. i really rec ignoring critic reviews and going to see it.

also the bts reference- my boys are canon everyone say thanks kingo!
i know mcu min yoongi has had some takes on vlive about superhero politics",honeysweetyoon
2021-11-06 23:14:44+00:00,1457124318845054979,Back from seeing #Eternals impossible to give a full review in one tweet but the cinematography was gorgeous &amp; the soundtrack by @Djawadi_Ramin was out of this world. However I can see why some critics weren't so keen on it. The story didn't move me as much as it could have.,jean_loup
2021-11-06 23:14:40+00:00,1457124302495666181,"Time to tweet my eternals review, good but not enough bunda in that scene it was giving dune p2 sand up in that batty crease",sakyndw
2021-11-06 23:13:56+00:00,1457124118034190336,We saw Eternals last night. My review is that Kit Harington wears some dope sweaters.,gamoid
2021-11-06 23:13:01+00:00,1457123888693874695,"@AngryJoeShow Happily surprised with your review.  I think the reason people hate eternals is its depressing as fuck.  Their stories were always depressing because the celestials have a callous attitude for anything beneath them, and will kill without a second thought.",KConnerWriter
2021-11-06 23:11:39+00:00,1457123544211628043,"About to see #Eternals. I have to believe that the critic reviews are unfairly low, but we'll see.",SpacePlayin
2021-11-06 23:11:29+00:00,1457123500859269121,"I also almost picked Eternals, because even though it has bad reviews, it features BTS' gayest song ever and I really wanna know what scene they're using that shit for https://t.co/ML2gc2dDYE",MerMucinJones
2021-11-06 23:11:28+00:00,1457123497331748866,#eternals was great. Worried after hearing some of the reviews and not knowing much about them I wouldn’t enjoy it. Can’t wait to see more of them! https://t.co/HztaypFAft,freelance616
2021-11-06 23:07:50+00:00,1457122583485112323,@AngryJoeShow Wheres eternals review?,GoPirate
2021-11-06 23:07:43+00:00,1457122552707432457,"Anyways, Eternals bouta start review coming soon https://t.co/j976TdnkoV",rhopkins_
2021-11-06 23:07:01+00:00,1457122377456816128,My ★★★★ review of Eternals on @letterboxd: https://t.co/5pLpMqIWcr,gabrieIsversion
2021-11-06 23:06:50+00:00,1457122329805393921,"Remember everyone, I'll upload my review for Eternals at 9:00pm (Eastern) and 6:00pm (Pacific). #Eternals",miketminett
2021-11-06 23:06:40+00:00,1457122291381276672,"Spoiler free review of Eternals.

If you are a cis white male Boomer this film is not For you.

It is for those who have longed to see themselves on screen. I saw deaf, LGBTQ and multicultural and honestly I live for it. I loved the portrayal of feminine power. It does open up",AngelOfLight616
2021-11-06 23:06:13+00:00,1457122176008474624,"❗️NEW VIDEO❗️

Kendall delivers her spoiler-free verdict on Eternals ➡️ https://t.co/Bepg8Ro0TS 

Subscribe for more!

#FREDtheALIENproductions #Ramblings #popculture #movie #film #review #Eternals #reaction #YouTube #video",FREDtheALIENpro
2021-11-06 23:05:30+00:00,1457121994462400515,My ★★★★ review of Eternals on @letterboxd: https://t.co/KsXTjUj9JJ,siriusfolklore
